metric,estimate,lower_95,upper_95,n_clusters
primary.primary_horizon_zero_effects_nats.recurrent_effect,0.3542148347874172,0.19477529800438786,0.5191204761822591,100
primary.primary_horizon_zero_effects_nats.kv_effect,3.51103275680216,2.959558127982251,4.077197206870593,100
primary.primary_horizon_zero_effects_nats.interaction,0.009200276746414602,-0.1781840715399012,0.19982662406016602,100
primary.primary_horizon_zero_effects_nats.full_difference,3.8652475915895774,3.269940651287441,4.476130700901616,100
primary.primary_horizon_zero_effects_nats.channel_contrast,3.156817922014743,2.602865214684978,3.7109025756181215,100
primary.primary_horizon_zero_effects_nats.recurrent_effect_at_KA,0.3496146964142099,0.17999418266199066,0.5210641921984497,100
primary.primary_horizon_zero_effects_nats.recurrent_effect_at_KB,0.3588149731606245,0.16104066524654626,0.5637947297897189,100
primary.primary_horizon_zero_effects_nats.kv_effect_at_RA,3.506432618428953,2.9626587702734395,4.060264681770699,100
primary.primary_horizon_zero_effects_nats.kv_effect_at_RB,3.5156328951753677,2.9454394635865464,4.105699818493332,100
primary.recipient_reference_and_zeroing.full.balanced_legal_candidate_accuracy,0.785,0.735,0.83,100
primary.recipient_reference_and_zeroing.full.changed_square_probe_accuracy,0.6096569909567192,0.5914059560404801,0.6284838723181111,100
primary.recipient_reference_and_zeroing.full.square_probe_accuracy,0.7871875,0.773125,0.801171875,100
primary.recipient_reference_and_zeroing.full.exact_board_probe_accuracy,0.005,0.0,0.015,100
primary.recipient_reference_and_zeroing.full.piece_and_rule_exact_probe_accuracy,0.005,0.0,0.015,100
primary.recipient_reference_and_zeroing.attention_content_zeroed.balanced_legal_candidate_accuracy,0.555,0.51,0.6,100
primary.recipient_reference_and_zeroing.attention_content_zeroed.changed_square_probe_accuracy,0.3288878948985069,0.31447488783704697,0.34290607240668824,100
primary.recipient_reference_and_zeroing.attention_content_zeroed.square_probe_accuracy,0.4046875,0.396015625,0.413359375,100
primary.recipient_reference_and_zeroing.attention_content_zeroed.exact_board_probe_accuracy,0.0,0.0,0.0,100
primary.recipient_reference_and_zeroing.attention_content_zeroed.piece_and_rule_exact_probe_accuracy,0.0,0.0,0.0,100
primary.recipient_reference_and_zeroing.recurrent_content_zeroed.balanced_legal_candidate_accuracy,0.495,0.475,0.515,100
primary.recipient_reference_and_zeroing.recurrent_content_zeroed.changed_square_probe_accuracy,0.33798736732313883,0.32446456237601984,0.3518595053727767,100
primary.recipient_reference_and_zeroing.recurrent_content_zeroed.square_probe_accuracy,0.3946875,0.386953125,0.40234375,100
primary.recipient_reference_and_zeroing.recurrent_content_zeroed.exact_board_probe_accuracy,0.0,0.0,0.0,100
primary.recipient_reference_and_zeroing.recurrent_content_zeroed.piece_and_rule_exact_probe_accuracy,0.0,0.0,0.0,100
primary.recipient_reference_and_zeroing.both_contents_zeroed.balanced_legal_candidate_accuracy,0.5,0.5,0.5,100
primary.recipient_reference_and_zeroing.both_contents_zeroed.changed_square_probe_accuracy,0.2642010558129981,0.2507920356908805,0.27786917777343145,100
primary.recipient_reference_and_zeroing.both_contents_zeroed.square_probe_accuracy,0.374296875,0.367265625,0.3815625,100
primary.recipient_reference_and_zeroing.both_contents_zeroed.exact_board_probe_accuracy,0.0,0.0,0.0,100
primary.recipient_reference_and_zeroing.both_contents_zeroed.piece_and_rule_exact_probe_accuracy,0.0,0.0,0.0,100
primary.held_out_cheap_baselines.initial_board.changed_square_accuracy,0.0,0.0,0.0,100
primary.held_out_cheap_baselines.initial_board.square_accuracy,0.619296875,0.601171875,0.636640625,100
primary.held_out_cheap_baselines.training_frequency.changed_square_accuracy,0.3943930672997132,0.3808238229639017,0.40860393276841095,100
primary.held_out_cheap_baselines.training_frequency.square_accuracy,0.676875,0.66640625,0.687578125,100
primary.held_out_cheap_baselines.orderless.changed_square_accuracy,0.5301816186019461,0.5136087464643351,0.546819352959004,100
primary.held_out_cheap_baselines.orderless.square_accuracy,0.7490625,0.7375,0.760703125,100
primary.held_out_cheap_baselines.last_move.changed_square_accuracy,0.3992018095955491,0.38520944272490576,0.4133797750568494,100
primary.held_out_cheap_baselines.last_move.square_accuracy,0.677734375,0.6667167968750001,0.6890625,100
primary.held_out_cheap_baselines.permutation.changed_square_accuracy,0.3821748170105781,0.366702817779398,0.3979853546619144,100
primary.held_out_cheap_baselines.permutation.square_accuracy,0.595390625,0.584765625,0.60625,100
primary.probe_donor_following_on_a_b_differing_squares.AA.a,0.6393492017057136,0.6181748226011081,0.6616461863552938,100
primary.probe_donor_following_on_a_b_differing_squares.AA.b,0.24540157913791222,0.2287916222213535,0.26190807501448377,100
primary.probe_donor_following_on_a_b_differing_squares.AA.neither,0.11524921915637412,0.10255139873634538,0.12749295164794072,100
primary.probe_donor_following_on_a_b_differing_squares.AA.b_minus_a_score,-0.3558811402019762,-0.38927230366009724,-0.3230386342314156,100
primary.probe_donor_following_on_a_b_differing_squares.BB.a,0.2522011333248334,0.229210115186822,0.274912878930253,100
primary.probe_donor_following_on_a_b_differing_squares.BB.b,0.644233757107495,0.6175206645585241,0.672113292869657,100
primary.probe_donor_following_on_a_b_differing_squares.BB.neither,0.10356510956767158,0.09118760485561211,0.115858453755192,100
primary.probe_donor_following_on_a_b_differing_squares.BB.b_minus_a_score,0.3491265468780751,0.315784861904767,0.3831488473147552,100
primary.probe_donor_following_on_a_b_differing_squares.BA.a,0.4540200931691474,0.4340956117868195,0.4738893028034659,100
primary.probe_donor_following_on_a_b_differing_squares.BA.b,0.4206198011207678,0.4022085834370833,0.43940439665969755,100
primary.probe_donor_following_on_a_b_differing_squares.BA.neither,0.12536010571008485,0.11311146832378967,0.1376803023073514,100
primary.probe_donor_following_on_a_b_differing_squares.BA.b_minus_a_score,-0.04100168039130735,-0.06776836011705009,-0.014173113025598585,100
primary.probe_donor_following_on_a_b_differing_squares.AB.a,0.4272939265573419,0.40371938398325513,0.4508045546079716,100
primary.probe_donor_following_on_a_b_differing_squares.AB.b,0.45761883653025015,0.43368302410472326,0.48179256166427586,100
primary.probe_donor_following_on_a_b_differing_squares.AB.neither,0.11508723691240798,0.10099490081804736,0.12954747840119335,100
primary.probe_donor_following_on_a_b_differing_squares.AB.b_minus_a_score,0.021655913079691155,-0.008621273102694893,0.051807071139262396,100
primary.secondary_subgroups.both_full_donors_correct.channel_contrast,4.451086286716817,3.70252245005645,5.2015058738735025,57
primary.secondary_subgroups.older_state.channel_contrast,2.555428909137845,1.6357557564238576,3.5646113224964786,38
primary.secondary_subgroups.shared_final_two_moves.channel_contrast,,,,0
transpositions.same_position.full_square_accuracy,0.89765625,0.8825455729166667,0.9125,30
transpositions.same_position.crossed_square_accuracy,0.8890625,0.8747395833333333,0.903125,30
transpositions.same_position.crossed_minus_full_square_accuracy,-0.00859375,-0.012760416666666666,-0.0046875,30
transpositions.same_position.full_legal_candidate_accuracy,0.5,0.3333333333333333,0.6666666666666666,30
transpositions.same_position.crossed_legal_candidate_accuracy,0.5,0.3333333333333333,0.6666666666666666,30
transpositions.same_position.crossed_minus_full_legal_candidate_accuracy,0.0,0.0,0.0,30
transpositions.different_position_effects_nats.channel_contrast,2.5075733394051594,1.3993725021548258,3.679813463212146,30
transpositions.different_position_effects_nats.full_difference,2.5391102035840354,1.449927206649445,3.707694078688509,30
transpositions.different_position_effects_nats.interaction,0.06519017101575932,-0.20582694396919882,0.32679622402337066,30
transpositions.different_position_effects_nats.kv_effect,2.5233417714945974,1.446036693865899,3.6696247810812195,30
transpositions.different_position_effects_nats.kv_effect_at_RA,2.4907466859867173,1.3550513818239174,3.686455664130238,30
transpositions.different_position_effects_nats.kv_effect_at_RB,2.555936857002477,1.5234441976373396,3.6579071784958552,30
transpositions.different_position_effects_nats.recurrent_effect,0.015768432089438043,-0.20562122822118303,0.23138112104303823,30
transpositions.different_position_effects_nats.recurrent_effect_at_KA,-0.016826653418441615,-0.311560488686276,0.2933786179187397,30
transpositions.different_position_effects_nats.recurrent_effect_at_KB,0.0483635175973177,-0.16507836198123793,0.2491767675740023,30
continuations.horizons.0.effects_nats.channel_contrast,3.693532086268533,2.609297172886727,4.850420764787122,32
continuations.horizons.0.effects_nats.full_difference,4.519847157062031,3.3951065599016146,5.716444953529572,32
continuations.horizons.0.effects_nats.interaction,-0.046242641808930784,-0.39940660898137137,0.3051612242154078,32
continuations.horizons.0.effects_nats.kv_effect,4.106689621665282,3.040338470824645,5.252271798747825,32
